category,layer,feature_idx,effect_size,accuracy,acc_delta,mean_entropy,ent_delta
pure_uncertainty,8,16146,0.7646388871655962,0.6276883634809857,-0.05697194131889516,0.8214490896241022,-0.0012302076978071286
pure_uncertainty,8,11129,0.7542486391536952,0.6262640649480131,-0.1994017946161497,0.8259664287213901,0.0032871313994807805
pure_uncertainty,8,25767,0.7478240698091809,0.6289702321606608,0.07121492664862172,0.8229759169151916,0.0002966195932821991
pure_uncertainty,8,5686,0.7283383047771819,0.6276883634809857,-0.05697194131889516,0.8235417396428928,0.0008624423209834253
pure_uncertainty,8,19568,0.694277060619786,0.6282580828941746,0.0,0.8208287384605366,-0.001850558861372753
pure_uncertainty,9,24447,0.6679725566858371,0.6282580828941746,0.0,0.8225057065746102,-0.00017359074729916824
pure_uncertainty,9,27949,0.6464695512453151,0.6291126620139581,0.08545791197834829,0.820248417813358,-0.0024308795085513646
pure_uncertainty,9,24643,0.6195745812653727,0.6276883634809857,-0.05697194131889516,0.8224388824459051,-0.00024041487600423572
pure_uncertainty,9,5197,0.5692432454844487,0.6282580828941746,0.0,0.8228201356904417,0.00014083836853229226
pure_uncertainty,9,22539,0.5457445207028045,0.6282580828941746,0.0,0.8235228510211111,0.0008435536992017489
pure_uncertainty,10,7817,0.7665018928256248,0.6293975217205526,0.11394388263780142,0.8250453237015974,0.00236602637968808
pure_uncertainty,10,17703,0.7253752604065734,0.6285429426007692,0.02848597065945313,0.8294595233875058,0.006780226065596473
pure_uncertainty,10,27749,0.5174225844257028,0.6284005127474719,0.014242985329726565,0.8229181198594253,0.00023882253751594806
pure_uncertainty,10,10750,0.3798896064277689,0.6288278023073636,0.05697194131889516,0.8116289896466312,-0.011050307675278148
pure_uncertainty,10,29763,0.2870999253879215,0.6284005127474719,0.014242985329726565,0.822904475856365,0.00022517853445558345
pure_uncertainty,11,10386,0.9735707337700471,0.6288278023073636,0.05697194131889516,0.8288576988896108,0.0061784015677014414
pure_uncertainty,11,7549,0.5906011677319383,0.6284005127474719,0.014242985329726565,0.812539418480997,-0.010139878840912386
