layer,feature_idx,unc_effect,inc_effect,acc_selection,acc_delta_selection,ent_selection,ent_delta_selection,beneficial
0,4397,0.08605631580964179,0.16842397744255228,0.6288278023073636,0.05697194131889516,0.8227216113097287,4.231398781928686e-05,False
0,21573,0.028720408014824294,0.27697001148474504,0.6285429426007692,0.02848597065945313,0.8222516273344544,-0.000427669987454915,True
3,25064,0.2000507629461181,0.4408003419134069,0.6288278023073636,0.05697194131889516,0.8214419694659706,-0.0012373278559387746,True
7,22351,0.197900504785856,0.168942697931958,0.6281156530408774,-0.014242985329726565,0.8226865205839234,7.223262014077747e-06,False
10,30908,0.3210926941548769,0.24625691637634484,0.6265489246546077,-0.17091582395669658,0.8346128898917893,0.011933592569879914,False
12,23860,0.19963210058134145,0.3427401809910302,0.6252670559749324,-0.29910269192422456,0.8195714660107203,-0.00310783131118908,False
15,30462,0.5810125610638478,0.308429487066428,0.6293975217205526,0.11394388263780142,0.813685307464008,-0.008993989857901341,True
15,11627,0.7655193671768165,0.26257998554109535,0.6264064948013104,-0.18515880928642314,0.844591414168641,0.021912116846731666,False
16,21747,2.60436862447252,0.5786935701934698,0.6303945306936334,0.21364477994587627,0.7464037868470853,-0.07627551047482406,True
16,6093,0.4143178692797278,0.34184731469054225,0.6289702321606608,0.07121492664862172,0.822521255810035,-0.00015804151187437387,True
16,6986,1.119429585620093,0.3146224807437287,0.6296823814271472,0.14242985329725455,0.7475433315709817,-0.07513596575092762,True
16,21931,0.951178935362637,0.29484895079748336,0.6298248112804444,0.15667283862698111,0.8177359952839279,-0.004943302037981434,True
16,24846,0.5687300397075746,0.22995342404859342,0.6275459336276884,-0.07121492664862172,0.8204255248406013,-0.0022537724813080917,False
16,4776,0.22656293851045214,0.23954611827034525,0.6286853724540664,0.042728955989179696,0.8231304722143425,0.00045117489243318154,False
17,8130,1.5660741225941832,0.41431514565973887,0.6291126620139581,0.08545791197834829,0.8162386613295624,-0.00644063599234701,True
17,13218,1.8115279937354367,0.4098685913037079,0.6303945306936334,0.21364477994587627,0.7723569158310666,-0.05032238149084278,True
17,22869,3.9382593893301276,0.35334379378336944,0.6336704173194702,0.541233442529554,0.7544030547551912,-0.06827624256671816,True
17,16259,0.631733943952772,0.2194345862474016,0.6266913545079048,-0.15667283862698111,0.8227099557259298,3.065840402038944e-05,False
