criterion,condition,layer,features,n_features,accuracy,acc_delta,mean_entropy,ent_delta,n_flipped_to_correct,n_flipped_to_incorrect
ent_only,L31_combined,31,"[29282, 28707, 23605, 32006, 1895, 19864, 16986, 9926, 29457, 12810, 20677]",11,0.5039168209656744,-11.522575131747615,0.6342296075939603,-0.18931737109304947,233,1042
ent_only,all_layers_combined,all,"{0: [21573], 3: [25064], 12: [23860], 15: [30462], 16: [21747, 6093, 6986, 21931, 24846], 17: [8130, 13218, 22869], 18: [10969, 2618, 22061], 19: [16897, 20087, 5267], 20: [28843, 9495, 32003], 21: [18562, 29779, 8518, 28108, 23211], 22: [29763, 16994, 8083, 7393, 5692, 11186], 23: [4837, 10086, 13628, 17464, 731], 24: [18192, 29371, 13232, 1302, 27356], 25: [9670, 25415, 8653], 26: [7951, 14351, 6419, 23375, 276, 1137], 27: [13272, 13231, 4360, 5023, 9014, 31449, 1425], 28: [7037, 5890, 19290, 13351, 28733], 29: [13931, 24981, 9092, 12331, 28379, 14638], 30: [9478, 8867, 15707, 29642, 28950, 25485], 31: [29282, 28707, 23605, 32006, 1895, 19864, 16986, 9926, 29457, 12810, 20677]}",86,0.5113231733371315,-10.7819398946019,0.22107608945420504,-0.6024708892328048,264,1021
acc_only,L0_combined,0,"[4397, 21573]",2,0.6199971514029341,0.08545791197835939,0.8231818563043657,-0.0003651223826440786,10,4
acc_only,L3_combined,3,[25064],1,0.6190001424298534,-0.014242985329715463,0.8223601360324483,-0.0011868426545614819,10,11
acc_only,L15_combined,15,[30462],1,0.6207093006694203,0.15667283862698111,0.8144550064500125,-0.009091972236997314,51,40
acc_only,L16_combined,16,"[21747, 6093, 6986, 21931, 4776]",5,0.6249821962683378,0.5839623985187337,0.6590290920851657,-0.16451788660184408,127,86
acc_only,L17_combined,17,"[8130, 13218, 22869]",3,0.6258367753881213,0.669420310497082,0.6908726973826295,-0.1326742813043803,135,88
acc_only,L18_combined,18,"[10969, 2618, 22061]",3,0.6282580828941746,0.9115510611024114,0.5381462722496758,-0.28540070643733395,217,153
acc_only,L19_combined,19,"[16897, 20087, 5267]",3,0.6237003275886626,0.4557755305512057,0.6931230026530931,-0.13042397603391664,85,53
acc_only,L20_combined,20,"[28843, 32003]",2,0.6255519156815268,0.6409343398376288,0.6992348199127262,-0.12431215877428359,119,74
acc_only,L21_combined,21,"[18562, 29779, 8518, 28108, 23211]",5,0.6268337843612021,0.7691212078051568,0.6692196823551734,-0.1543272963318364,152,98
acc_only,L22_combined,22,"[29763, 16994, 8083, 7393, 5692, 21419]",6,0.6301096709870389,1.0967098703888345,0.5128175904252321,-0.31072938826177765,245,168
acc_only,L23_combined,23,"[4837, 10086, 13628, 17464, 731]",5,0.6255519156815268,0.6409343398376288,0.46198390159655417,-0.3615630770904556,226,181
acc_only,L24_combined,24,"[18192, 29371, 27356]",3,0.6269762142144993,0.7833641931348834,0.4367989428127485,-0.38674803587426126,249,194
acc_only,L25_combined,25,"[9670, 25415, 8653]",3,0.6255519156815268,0.6409343398376288,0.6653635539402984,-0.15818342474671132,135,90
acc_only,L26_combined,26,"[14351, 23375, 276, 1137]",4,0.6248397664150406,0.5697194131890071,0.4731645065974099,-0.3503824720895999,178,138
acc_only,L27_combined,27,"[13272, 13231, 4360, 31449]",4,0.6256943455348241,0.6551773251673554,0.40378859195255307,-0.4197583867344567,271,225
acc_only,L28_combined,28,"[7037, 5890]",2,0.623415467882068,0.42728955989175255,0.7490901689213859,-0.07445680976562385,87,57
acc_only,L29_combined,29,"[13931, 9092]",2,0.6218487394957983,0.27061672126478253,0.8090905163111742,-0.014456462375835533,44,25
acc_only,L30_combined,30,"[8867, 28950]",2,0.6177182737501781,-0.14242985329724345,0.7959513771959209,-0.02759560149108886,30,40
acc_only,L31_combined,31,"[2354, 28707, 16986]",3,0.6211365902293121,0.1994017946161608,0.8178786595632943,-0.0056683191237154595,39,25
acc_only,all_layers_combined,all,"{0: [4397, 21573], 3: [25064], 15: [30462], 16: [21747, 6093, 6986, 21931, 4776], 17: [8130, 13218, 22869], 18: [10969, 2618, 22061], 19: [16897, 20087, 5267], 20: [28843, 32003], 21: [18562, 29779, 8518, 28108, 23211], 22: [29763, 16994, 8083, 7393, 5692, 21419], 23: [4837, 10086, 13628, 17464, 731], 24: [18192, 29371, 27356], 25: [9670, 25415, 8653], 26: [14351, 23375, 276, 1137], 27: [13272, 13231, 4360, 31449], 28: [7037, 5890], 29: [13931, 9092], 30: [8867, 28950], 31: [2354, 28707, 16986]}",59,0.6309642501068224,1.1821677823671939,0.20557311854223156,-0.6179738601447782,334,251
