category,layer,feature_idx,effect_size,accuracy,acc_delta,mean_entropy,ent_delta
both,6,114,0.386097690530645,0.6926363765845321,-0.02848597065945313,0.5268270557539988,-0.001521917735069156
both,6,126,0.36484548529734956,0.6927788064378294,-0.014242985329726565,0.5298994743914941,0.001550500902426144
both,6,4601,0.3040474409280159,0.6922090870246403,-0.07121492664863283,0.5281584943938178,-0.00019047909525016227
both,7,125,0.5205290293567585,0.6924939467312349,-0.042728955989179696,0.5275621891631292,-0.0007867843259387053
both,7,32378,0.5133466316065276,0.6923515168779376,-0.05697194131890626,0.5271228920658448,-0.0012260814232231132
both,7,42,0.5006078965348872,0.6910696481982623,-0.18515880928643424,0.5277642458233294,-0.0005847276657385825
both,7,14119,0.4399262485254909,0.6922090870246403,-0.07121492664863283,0.5279494252847882,-0.0003995482042797871
both,7,37,0.42403805707281633,0.6932060959977211,0.028485970659442028,0.5266079281340272,-0.0017410453550407157
both,8,308,0.5832130787629511,0.6926363765845321,-0.02848597065945313,0.5283366024158224,-1.2371073245587283e-05
both,8,17,0.517130005534171,0.6909272183449651,-0.1994017946161608,0.528107822698554,-0.00024115079051389987
both,8,27193,0.46852014222598304,0.6912120780515596,-0.17091582395670768,0.528030371343635,-0.00031860214543300014
both,8,1476,0.4175371894983742,0.6929212362911267,0.0,0.5283738248705876,2.4851381519641613e-05
both,8,8728,0.38185401295785604,0.6924939467312349,-0.042728955989179696,0.5281930170154516,-0.00015595647361632548
both,9,1053,0.49907883867372266,0.6929212362911267,0.0,0.528177397833296,-0.00017157565577197165
both,9,83,0.48226314387636443,0.6932060959977211,0.028485970659442028,0.5257417765545527,-0.002607196934515277
both,9,27720,0.44451636696532076,0.6922090870246403,-0.07121492664863283,0.5286194930667657,0.0002705195776977476
both,9,81,0.34098512635643,0.6919242273180458,-0.09970089730808596,0.527877684615782,-0.0004712888732859577
both,9,7579,0.3403047333843781,0.6930636661444238,0.014242985329715463,0.5280244844623915,-0.0003244890266764777
both,10,38,0.4179927836947687,0.6917817974647487,-0.11394388263780142,0.5304480675224227,0.0020990940333547314
both,10,73,0.4161976524324553,0.6930636661444238,0.014242985329715463,0.5278328645237347,-0.0005161089653332729
both,10,850,0.38370673958133417,0.6927788064378294,-0.014242985329726565,0.5282337515204514,-0.00011522196861657452
both,10,2555,0.37721878837277156,0.6924939467312349,-0.042728955989179696,0.5284449563881701,9.598289910217606e-05
both,10,14,0.3755333547287766,0.6920666571713431,-0.08545791197835939,0.5251939009039804,-0.003155072585087515
both,11,10,0.47799903030980556,0.6922090870246403,-0.07121492664863283,0.5245265934471693,-0.00382238004189861
both,11,46,0.41886880586673864,0.6922090870246403,-0.07121492664863283,0.5279254099833891,-0.0004235635056788478
both,11,385,0.3529763438463947,0.6924939467312349,-0.042728955989179696,0.5280983004167688,-0.0002506730722992012
both,11,28614,0.33404052424762637,0.6920666571713431,-0.08545791197835939,0.5282691547910939,-7.981869797402119e-05
both,11,7961,0.322273144598456,0.6927788064378294,-0.014242985329726565,0.5283218318418286,-2.7141647239381506e-05
