category,layer,feature_idx,effect_size,accuracy,acc_delta,mean_entropy,ent_delta
both,0,9298,0.21032096521741406,0.6924939467312349,-0.042728955989179696,0.528393127339926,4.415385085809742e-05
both,0,10887,0.1417801002664247,0.6924939467312349,-0.042728955989179696,0.5286320103457535,0.0002830368566855146
both,1,3962,0.5655551041548708,0.6923515168779376,-0.05697194131890626,0.5276170974660883,-0.0007318760229796384
both,1,15769,0.3387284854919913,0.6929212362911267,0.0,0.5281306702746833,-0.00021830321438465194
both,2,13786,0.3032689757031545,0.6929212362911267,0.0,0.5284121422087023,6.316871963429893e-05
both,3,14256,0.39518602770210687,0.6916393676114514,-0.12818686796752798,0.5281375446593413,-0.00021142882972668975
both,3,1843,0.3360462107681658,0.6924939467312349,-0.042728955989179696,0.5300272968769935,0.0016783233879255066
both,3,909,0.10652106220513965,0.6934909557043156,0.05697194131889516,0.5282891836438478,-5.978984522014841e-05
both,4,10017,0.46726770491565434,0.6923515168779376,-0.05697194131890626,0.5287058331432141,0.0003568596541461133
both,4,3418,0.3172350304302217,0.6936333855576129,0.07121492664862172,0.5267560906067262,-0.0015928828823417174
both,4,10740,0.29180159422136687,0.6917817974647487,-0.11394388263780142,0.5279781886082269,-0.00037078488084107963
both,4,12049,0.2835109014362186,0.6932060959977211,0.028485970659442028,0.5283155697757447,-3.340371332327674e-05
both,4,2997,0.2460358800064716,0.6923515168779376,-0.05697194131890626,0.5288788197115667,0.0005298462224987421
both,5,11777,0.5045820781684368,0.6922090870246403,-0.07121492664863283,0.5284546569347472,0.00010568344567929433
both,5,3945,0.4360948347306996,0.6914969377581541,-0.14242985329725455,0.5280365601632339,-0.0003124133258340933
both,5,9577,0.42649856747012743,0.6929212362911267,0.0,0.5287488783542135,0.00039990486514551726
both,5,6368,0.4192980517573087,0.6923515168779376,-0.05697194131890626,0.527942339629864,-0.0004066338592039198
both,5,13087,0.36275306986656464,0.6930636661444238,0.014242985329715463,0.5284501313365495,0.00010115784748154777
both,6,12856,0.41822599513818115,0.6917817974647487,-0.11394388263780142,0.5289665577931485,0.0006175843040805429
both,6,4852,0.4022356742906567,0.6923515168779376,-0.05697194131890626,0.5291854394901342,0.0008364660010662384
both,6,412,0.38738879638397017,0.6920666571713431,-0.08545791197835939,0.5274582931308845,-0.0008906803581834044
both,6,3344,0.3683453057909512,0.6936333855576129,0.07121492664862172,0.5283880265531639,3.9053064095906365e-05
both,6,13772,0.3477356557520659,0.6922090870246403,-0.07121492664863283,0.5270340954908369,-0.0013148779982310455
both,7,12856,0.6028659479301852,0.6922090870246403,-0.07121492664863283,0.5290612800254081,0.0007123065363401349
both,7,75,0.4771743760681111,0.6929212362911267,0.0,0.5270037205033913,-0.0013452529856766704
both,7,14353,0.37575219451989234,0.6922090870246403,-0.07121492664863283,0.5283284547245927,-2.0518764475285778e-05
both,7,6874,0.36362792909077335,0.6904999287850734,-0.2421307506053294,0.5284262885303078,7.73150412398671e-05
both,7,3238,0.3612543439794101,0.6923515168779376,-0.05697194131890626,0.5277788338044205,-0.0005701396846474749
both,8,10544,0.4513103730606217,0.6920666571713431,-0.08545791197835939,0.5282828288545768,-6.614463449117203e-05
both,8,4692,0.4167468211524743,0.6927788064378294,-0.014242985329726565,0.5294859361807359,0.0011369626916679643
both,8,579,0.4052652663043239,0.6920666571713431,-0.08545791197835939,0.5284662915553713,0.00011731806630332908
both,8,5781,0.3851882572027218,0.6932060959977211,0.028485970659442028,0.5286917007157786,0.0003427272267106929
both,8,3146,0.35405164514573517,0.6924939467312349,-0.042728955989179696,0.5275602076766439,-0.0007887658124240415
both,9,7174,0.47177006225556534,0.6926363765845321,-0.02848597065945313,0.5283311401243839,-1.7833364684083364e-05
both,9,12961,0.4038357284384976,0.6930636661444238,0.014242985329715463,0.5284411867686548,9.221327958686132e-05
both,9,7155,0.39063863846723407,0.6926363765845321,-0.02848597065945313,0.5285143507165643,0.00016537722749632167
both,9,16264,0.3862310969853799,0.6932060959977211,0.028485970659442028,0.5287560900243472,0.0004071165352792505
both,9,14527,0.3367266060456222,0.6924939467312349,-0.042728955989179696,0.5285593870522306,0.00021041356316264803
both,10,4737,0.46253446143820376,0.6933485258510184,0.04272895598916859,0.5280191449335743,-0.00032982855549368306
both,10,11779,0.4480898886236631,0.6927788064378294,-0.014242985329726565,0.5270581548570407,-0.0012908186320272907
both,10,12037,0.36907541029763336,0.6932060959977211,0.028485970659442028,0.5283739453059356,2.497181686766936e-05
both,10,6339,0.3648023073822708,0.6919242273180458,-0.09970089730808596,0.5335693849180808,0.005220411429012861
both,10,579,0.32841301871678646,0.6914969377581541,-0.14242985329725455,0.5284715078628908,0.00012253437382281351
both,11,8236,0.4996191196061687,0.6920666571713431,-0.08545791197835939,0.5302485489803439,0.001899575491275951
both,11,735,0.3937224950462855,0.6919242273180458,-0.09970089730808596,0.5279913778196982,-0.00035759566936977016
both,11,472,0.3638535379049609,0.6919242273180458,-0.09970089730808596,0.5280416446764022,-0.0003073288126657081
both,11,9549,0.3492192722305284,0.6923515168779376,-0.05697194131890626,0.5281247553438988,-0.00022421814516915273
both,11,1827,0.3369532477724377,0.6924939467312349,-0.042728955989179696,0.5282780411600866,-7.09323289813657e-05
both,12,3980,0.6198322228165118,0.6913545079048569,-0.15667283862698111,0.5292590498977058,0.0009100764086378277
both,12,11713,0.43958523992991533,0.6937758154109102,0.08545791197834829,0.527692705544159,-0.000656267944908917
